algorithm,array_size,depth,runtime
mine,2,1,511
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,255
mine,2,1,511
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,0
yaroslavskiy,2,1,256
mine,2,1,256
yaroslavskiy,2,1,255
mine,2,1,511
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,256
mine,2,1,511
yaroslavskiy,2,1,256
mine,2,1,256
yaroslavskiy,2,1,511
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,511
yaroslavskiy,2,1,255
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,511
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,255
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,256
mine,2,1,511
yaroslavskiy,2,1,511
mine,2,1,511
yaroslavskiy,2,1,255
mine,2,1,256
yaroslavskiy,2,1,255
mine,2,1,767
yaroslavskiy,2,1,511
mine,2,1,511
yaroslavskiy,2,1,256
mine,2,1,255
yaroslavskiy,2,1,511
mine,4,1,767
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,766
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,255
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,255
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,255
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,255
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,256
mine,4,1,255
yaroslavskiy,4,1,256
mine,4,1,510
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,255
mine,4,1,256
yaroslavskiy,4,1,256
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,511
yaroslavskiy,4,1,511
mine,4,1,256
yaroslavskiy,4,1,255
mine,4,1,511
yaroslavskiy,4,1,255
mine,4,1,255
yaroslavskiy,4,1,510
